time_period,vinex,value,variable,measure
-4,Niet-Vinex,51266.0380895522,woz,mean
-4,Niet-Vinex,904.129712485178,woz,se
-3,Niet-Vinex,115877.162414032,woz,mean
-3,Niet-Vinex,846.720324117971,woz,se
-2,Niet-Vinex,190197.623802782,woz,mean
-2,Niet-Vinex,826.993568145361,woz,se
-1,Niet-Vinex,251571.4473449,woz,mean
-1,Niet-Vinex,859.786536129566,woz,se
0,Niet-Vinex,302216.576088258,woz,mean
0,Niet-Vinex,1524.98448287881,woz,se
1,Niet-Vinex,331631.20250785,woz,mean
1,Niet-Vinex,1332.77954309335,woz,se
2,Niet-Vinex,329189.641184835,woz,mean
2,Niet-Vinex,1123.08741965889,woz,se
3,Niet-Vinex,326581.094606773,woz,mean
3,Niet-Vinex,1836.07929539463,woz,se
4,Niet-Vinex,315357.283061204,woz,mean
4,Niet-Vinex,1384.19300703206,woz,se
5,Niet-Vinex,307450.598576584,woz,mean
5,Niet-Vinex,1826.30134024219,woz,se
6,Niet-Vinex,304809.448376812,woz,mean
6,Niet-Vinex,1348.73555088902,woz,se
7,Niet-Vinex,310724.505159192,woz,mean
7,Niet-Vinex,1304.38306802738,woz,se
8,Niet-Vinex,324290.243615327,woz,mean
8,Niet-Vinex,1296.63590310655,woz,se
-4,Vinex,39494.9515638963,woz,mean
-4,Vinex,746.29320236324,woz,se
-3,Vinex,95103.7301848801,woz,mean
-3,Vinex,1908.04819357255,woz,se
-2,Vinex,165820.508707551,woz,mean
-2,Vinex,1122.96073787454,woz,se
-1,Vinex,230843.563736864,woz,mean
-1,Vinex,899.868325217463,woz,se
0,Vinex,264247.569355706,woz,mean
0,Vinex,3361.98944050003,woz,se
1,Vinex,318165.692252511,woz,mean
1,Vinex,2137.81761273536,woz,se
2,Vinex,324944.876786889,woz,mean
2,Vinex,1266.97612197563,woz,se
3,Vinex,324744.390426104,woz,mean
3,Vinex,2702.21132342022,woz,se
4,Vinex,315800.124506402,woz,mean
4,Vinex,1733.34580280562,woz,se
5,Vinex,309934.318358557,woz,mean
5,Vinex,1633.1425872573,woz,se
6,Vinex,306665.648580668,woz,mean
6,Vinex,1322.11957459994,woz,se
7,Vinex,315895.340480326,woz,mean
7,Vinex,2299.95577661462,woz,se
8,Vinex,332558.807105073,woz,mean
8,Vinex,2283.29847689298,woz,se
-4,Niet-Vinex,0.778839848174718,employed,mean
-4,Niet-Vinex,0.00185015112963833,employed,se
-3,Niet-Vinex,0.778955490578298,employed,mean
-3,Niet-Vinex,0.00185013599842939,employed,se
-2,Niet-Vinex,0.779103300898359,employed,mean
-2,Niet-Vinex,0.00184996903293759,employed,se
-1,Niet-Vinex,0.771972255179338,employed,mean
-1,Niet-Vinex,0.00187141938291593,employed,se
0,Niet-Vinex,0.758087986126338,employed,mean
0,Niet-Vinex,0.00191198195268337,employed,se
1,Niet-Vinex,0.747271785884977,employed,mean
1,Niet-Vinex,0.0019393197635204,employed,se
2,Niet-Vinex,0.73640242443576,employed,mean
2,Niet-Vinex,0.00196730272362899,employed,se
3,Niet-Vinex,0.722034778094991,employed,mean
3,Niet-Vinex,0.00200173896866313,employed,se
4,Niet-Vinex,0.707601054481547,employed,mean
4,Niet-Vinex,0.00203277356448903,employed,se
5,Niet-Vinex,0.692736537116595,employed,mean
5,Niet-Vinex,0.00206235536043846,employed,se
6,Niet-Vinex,0.682142785701426,employed,mean
6,Niet-Vinex,0.00208262996757822,employed,se
7,Niet-Vinex,0.672931804079345,employed,mean
7,Niet-Vinex,0.00209895033778183,employed,se
8,Niet-Vinex,0.662997137767459,employed,mean
8,Niet-Vinex,0.00211476155505535,employed,se
-4,Vinex,0.841351013855028,employed,mean
-4,Vinex,0.00281738314685013,employed,se
-3,Vinex,0.853340641939217,employed,mean
-3,Vinex,0.00272855402172787,employed,se
-2,Vinex,0.859403114723584,employed,mean
-2,Vinex,0.00268135727524281,employed,se
-1,Vinex,0.855306996668253,employed,mean
-1,Vinex,0.00271397679255618,employed,se
0,Vinex,0.848591549295775,employed,mean
0,Vinex,0.00276918641850742,employed,se
1,Vinex,0.844504021447721,employed,mean
1,Vinex,0.00279713035578626,employed,se
2,Vinex,0.834277198211625,employed,mean
2,Vinex,0.00287096568184519,employed,se
3,Vinex,0.82708830548926,employed,mean
3,Vinex,0.00292121870645803,employed,se
4,Vinex,0.819359073819896,employed,mean
4,Vinex,0.00297207684081789,employed,se
5,Vinex,0.805746371184517,employed,mean
5,Vinex,0.0030577784990599,employed,se
6,Vinex,0.797286798541804,employed,mean
6,Vinex,0.00310795251555061,employed,se
7,Vinex,0.791250821729517,employed,mean
7,Vinex,0.00314192306442808,employed,se
8,Vinex,0.784997611084568,employed,mean
8,Vinex,0.00317496667811815,employed,se
-4,Niet-Vinex,0,moved,mean
-4,Niet-Vinex,0,moved,se
-3,Niet-Vinex,0.0209729042005447,moved,mean
-3,Niet-Vinex,0.000638901659103774,moved,se
-2,Niet-Vinex,0.0415407254215718,moved,mean
-2,Niet-Vinex,0.000889807386359297,moved,se
-1,Niet-Vinex,0.128043928059844,moved,mean
-1,Niet-Vinex,0.0014903991503944,moved,se
0,Niet-Vinex,0.960731157932505,moved,mean
0,Niet-Vinex,0.000867201955690467,moved,se
1,Niet-Vinex,0.0945913653018958,moved,mean
1,Niet-Vinex,0.00130596437301596,moved,se
2,Niet-Vinex,0.0536725416699896,moved,mean
2,Niet-Vinex,0.0010063282959511,moved,se
3,Niet-Vinex,0.0518876400007986,moved,mean
3,Niet-Vinex,0.000991048749407015,moved,se
4,Niet-Vinex,0.0525043936731107,moved,mean
4,Niet-Vinex,0.000996766178983062,moved,se
5,Niet-Vinex,0.0544709761214907,moved,mean
5,Niet-Vinex,0.00101448120050783,moved,se
6,Niet-Vinex,0.060350863155368,moved,mean
6,Niet-Vinex,0.00106508197306934,moved,se
7,Niet-Vinex,0.0658339838667708,moved,mean
7,Niet-Vinex,0.00110951857809553,moved,se
8,Niet-Vinex,0.0666519885510698,moved,mean
8,Niet-Vinex,0.00111587910115741,moved,se
-4,Vinex,0,moved,mean
-4,Vinex,0,moved,se
-3,Vinex,0.0233180655523169,moved,mean
-3,Vinex,0.00116396247701588,moved,se
-2,Vinex,0.041054322603677,moved,mean
-2,Vinex,0.00153053853559039,moved,se
-1,Vinex,0.124739629828007,moved,mean
-1,Vinex,0.00254912051298836,moved,se
0,Vinex,0.961864406779661,moved,mean
0,Vinex,0.00147961922057786,moved,se
1,Vinex,0.0940720881739649,moved,mean
1,Vinex,0.00225335427339864,moved,se
2,Vinex,0.0546646795827124,moved,mean
2,Vinex,0.00175520572349828,moved,se
3,Vinex,0.0532816229116945,moved,mean
3,Vinex,0.00173490251076432,moved,se
4,Vinex,0.0563943426627678,moved,mean
4,Vinex,0.00178208273029824,moved,se
5,Vinex,0.057045576727794,moved,mean
5,Vinex,0.00179258026892101,moved,se
6,Vinex,0.0607183410028088,moved,mean
6,Vinex,0.00184622208389644,moved,se
7,Vinex,0.0717145759875695,moved,mean
7,Vinex,0.00199466770007272,moved,se
8,Vinex,0.0821786908743431,moved,mean
8,Vinex,0.00212247233847721,moved,se
-4,Niet-Vinex,16422.1123524068,comm_dist,mean
-4,Niet-Vinex,104.348628534113,comm_dist,se
-3,Niet-Vinex,16577.6442013559,comm_dist,mean
-3,Niet-Vinex,105.510142382897,comm_dist,se
-2,Niet-Vinex,16897.3993702251,comm_dist,mean
-2,Niet-Vinex,108.372559199838,comm_dist,se
-1,Niet-Vinex,17307.855144426,comm_dist,mean
-1,Niet-Vinex,111.452197698102,comm_dist,se
0,Niet-Vinex,17990.3541938767,comm_dist,mean
0,Niet-Vinex,112.685553213253,comm_dist,se
1,Niet-Vinex,17519.5147175953,comm_dist,mean
1,Niet-Vinex,109.436499129743,comm_dist,se
2,Niet-Vinex,17571.8026652303,comm_dist,mean
2,Niet-Vinex,108.510638787828,comm_dist,se
3,Niet-Vinex,17567.4026785777,comm_dist,mean
3,Niet-Vinex,108.605679154765,comm_dist,se
4,Niet-Vinex,18580.6929794975,comm_dist,mean
4,Niet-Vinex,113.104578350714,comm_dist,se
5,Niet-Vinex,19738.5983936488,comm_dist,mean
5,Niet-Vinex,117.627927974915,comm_dist,se
6,Niet-Vinex,20758.0586745695,comm_dist,mean
6,Niet-Vinex,120.139940042123,comm_dist,se
7,Niet-Vinex,21456.2276365722,comm_dist,mean
7,Niet-Vinex,121.864941902504,comm_dist,se
8,Niet-Vinex,21294.9500611323,comm_dist,mean
8,Niet-Vinex,120.23118393108,comm_dist,se
-4,Vinex,16855.0772446681,comm_dist,mean
-4,Vinex,171.744187549089,comm_dist,se
-3,Vinex,16533.0355964081,comm_dist,mean
-3,Vinex,167.53307524809,comm_dist,se
-2,Vinex,16600.483868481,comm_dist,mean
-2,Vinex,173.27748770286,comm_dist,se
-1,Vinex,17151.2070180871,comm_dist,mean
-1,Vinex,183.355665787684,comm_dist,se
0,Vinex,17295.2641369272,comm_dist,mean
0,Vinex,171.465109521485,comm_dist,se
1,Vinex,16953.2171867635,comm_dist,mean
1,Vinex,165.792542059055,comm_dist,se
2,Vinex,17069.5452228598,comm_dist,mean
2,Vinex,167.224513209197,comm_dist,se
3,Vinex,17063.2033506066,comm_dist,mean
3,Vinex,166.191502214693,comm_dist,se
4,Vinex,17922.4304098789,comm_dist,mean
4,Vinex,172.309870432737,comm_dist,se
5,Vinex,18841.1704024509,comm_dist,mean
5,Vinex,175.579778349169,comm_dist,se
6,Vinex,20328.4858442741,comm_dist,mean
6,Vinex,184.747455752118,comm_dist,se
7,Vinex,21109.7849972712,comm_dist,mean
7,Vinex,184.318227060308,comm_dist,se
8,Vinex,21223.4486291108,comm_dist,mean
8,Vinex,190.056556562331,comm_dist,se
